task,kwargs,num_envs,lr,dmodel,nlayer,gamma,ent_coef,bs,anneal_ent,episodic_reward.mean,episodic_reward.count,reward.mean,charts/SPS
NotHotdog,{},256,0.001,64,2,0.99,0.003,1024,False,1,4096,1,6358
NotHotdog,{},256,0.01,64,2,0.99,0.003,1024,False,0.497802734375,4096,0.497802734375,6423
NotHotdog,{},256,0.003,64,2,0.99,0.003,1024,False,0.753173828125,4096,0.753173828125,6364
NotHotdog,{},256,0.0003,64,2,0.99,0.003,512,False,1,4096,1,4562
NotHotdog,{},256,0.001,64,2,0.99,0.003,512,False,1,4096,1,4569
NotHotdog,{},256,0.01,64,2,0.99,0.003,512,False,0.496826171875,4096,0.496826171875,4504
NotHotdog,{},256,0.003,64,2,0.99,0.003,512,False,1,4096,1,4663
NotHotdog,{},256,0.0003,64,2,0.99,0.003,256,False,1,4096,1,2855
NotHotdog,{},256,0.001,64,2,0.99,0.003,256,False,1,4096,1,2878
NotHotdog,{},256,0.003,64,2,0.99,0.003,256,False,0.490966796875,4096,0.490966796875,2872
NotHotdog,{},256,0.01,64,2,0.99,0.003,256,False,0.48974609375,4096,0.48974609375,2863
NotHotdog,{},256,0.0003,64,2,0.99,0.003,1024,True,1,4096,1,6329
NotHotdog,{},256,0.01,64,2,0.99,0.003,1024,True,0.496337890625,4096,0.496337890625,6378
NotHotdog,{},256,0.001,64,2,0.99,0.003,1024,True,1,4096,1,6328
NotHotdog,{},256,0.003,64,2,0.99,0.003,1024,True,1,4096,1,6301
NotHotdog,{},256,0.003,64,2,0.99,0.003,512,True,1,4096,1,4589
NotHotdog,{},256,0.001,64,2,0.99,0.003,512,True,1,4096,1,4546
NotHotdog,{},256,0.0003,64,2,0.99,0.003,512,True,1,4096,1,4520
NotHotdog,{},256,0.01,64,2,0.99,0.003,512,True,0.512939453125,4096,0.512939453125,4585
NotHotdog,{},256,0.0003,64,2,0.99,0.003,256,True,1,4096,1,2859
NotHotdog,{},256,0.001,64,2,0.99,0.003,256,True,1,4096,1,2860
NotHotdog,{},256,0.003,64,2,0.99,0.003,256,True,1,4096,1,2892
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",256,0.0003,64,2,0.99,0.003,1024,False,0.12701493501663208,335,0.00980224646627903,4942
