task,kwargs,num_envs,lr,dmodel,nlayer,gamma,ent_coef,bs,episodic_reward.mean,episodic_reward.count,reward.mean
CherryPick,"{""num_cherries"": 32}",128,3e-05,32,2,0.99,0.03,2048,0.8860059976577759,128,0.05537538602948189
CherryPick,"{""num_cherries"": 32}",128,3e-05,32,2,0.99,0.03,512,0.9850223064422609,128,0.0615638867020607
CherryPick,"{""num_cherries"": 32}",128,3e-05,8,2,0.99,0.03,2048,-3.3076424598693848,128,-0.20672765374183655
CherryPick,"{""num_cherries"": 32}",128,3e-05,8,2,0.99,0.03,512,0.8922609090805054,128,0.05576631054282189
Procgen:BossFight,{},128,3e-05,128,2,0.99,0.03,2048,0.0714285746216774,28,0.00146484375
Procgen:BossFight,{},128,3e-05,128,2,0.99,0.03,512,0.1818181872367859,22,0.0009765625
Procgen:BossFight,{},128,3e-05,32,2,0.99,0.03,2048,0.23999999463558197,50,0.00537109375
Procgen:BossFight,{},128,3e-05,32,2,0.99,0.03,512,0.13793103396892548,29,0
Procgen:BossFight,{},128,3e-05,8,2,0.99,0.03,2048,0,42,0
Procgen:BossFight,{},128,3e-05,8,2,0.99,0.03,512,0,44,0
Procgen:BigFish,{},128,3e-05,128,2,0.99,0.03,512,0.1034482792019844,29,0.001953125
Procgen:BigFish,{},128,3e-05,128,2,0.99,0.03,2048,0.15789473056793213,19,0.001953125
Procgen:BigFish,{},128,3e-05,32,2,0.99,0.03,2048,0.2222222238779068,18,0.0009765625
Procgen:BigFish,{},128,3e-05,32,2,0.99,0.03,512,0.10526315867900848,19,0.001953125
Procgen:BigFish,{},128,3e-05,8,2,0.99,0.03,2048,0.2083333283662796,24,0.00244140625
Procgen:BigFish,{},128,3e-05,8,2,0.99,0.03,512,0.2777777910232544,18,0.00146484375
Xor,{},128,3e-05,128,2,0.99,0.1,2048,0.755859375,2048,0.755859375
Xor,{},128,3e-05,128,2,0.99,0.1,512,1,2048,1
Xor,{},128,3e-05,32,2,0.99,0.1,2048,0.4951171875,2048,0.4951171875
Xor,{},128,3e-05,32,2,0.99,0.1,512,0.48974609375,2048,0.48974609375
Xor,{},128,3e-05,8,2,0.99,0.1,2048,0.5166015625,2048,0.5166015625
Xor,{},128,3e-05,8,2,0.99,0.1,512,0.49462890625,2048,0.49462890625
Procgen:StarPilot,{},128,3e-05,128,2,0.99,0.1,2048,1.47826087474823,23,0.0166015625
